乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
瓦莱州警方表示，目击者在25日中午12时25分打电话向警方报案，说他目睹了一架小型飞机从天空坠落。	The Wallis police said that a witness called the police at 12:25 on the 25th, shortly after noon, claiming he had seen a small airplane fall from the sky.	Valais police said witnesses called police at 12.25pm to report he had witnessed a small plane fall from the sky.	Valais police said a witness called police at 12.25pm to report that he had witnessed a small plane fall from the sky.
数分钟后目击者再次向警方通报称，坠机地点冒出了滚滚浓烟。	Several minutes later, witnesses again reported to the police that they saw thick smoke rising from the place where the airplane crashed.	A few minutes later, witnesses again informed police that smoke was billowing from the crash site.	Several minutes later, witnesses again informed police that smoke was billowing from the crash site.
警方接到报警后，迅速协调消防警员、医护人员和救援人员并搭载直升机赶赴事故现场救援。	After the police received the report, they quickly coordinated with firefighters, emergency medical personnel, and rescue personnel and took a helicopter to the scene of the accident to conduct the rescue.	After receiving the call, police quickly coordinated with fire officers, paramedics and rescue workers and rushed to the scene of the accident.	Upon receiving the call, police quickly coordinated fire officers, paramedics and rescuers and took a helicopter to the scene of the accident.
救援人员抵达坠机现场后，发现机上的4人已全部遇难。	When the rescue personnel arrived at the crash site, they discovered that the 4 people on board the airplane were already dead.	Rescuers arrived at the scene of the crash and found all four people on board had been killed.	Rescuers arrived at the scene of the crash and found all four people on board had died.
警方经核实，事故中的遇难者包括50岁和66岁的两名瑞士人，以及46岁和50岁的两名奥地利人。	The police confirmed that the deceased were two Swiss citizens, ages 50 and 66, and two Austrian citizens, ages 46 and 50.	Police verified that those killed in the crash included two Swiss men, aged 50 and 66, and two Austrians, aged 46 and 50.	Police verified that the victims in the accident included two Swiss men aged 50 and 66, and two Austrians aged 46 and 50.
警方表示，目前，警方正在与瑞士运输安全调查委员会合作，共同调查这起坠机事故原因。	The police said that presently, they are cooperating with the Swiss Transportation Safety Investigation Board to discover the cause of the accident.	Police are now working with the Swiss Transport Safety Investigation Board to investigate the cause of the crash, police said.	Police are now working with the Swiss Transport Safety Investigation Board to investigate the cause of the crash, police said.
重庆33个区县出现暴雨 发布洪水黄色和橙色预警-中新网	With heavy rainfall in 33 districts and counties, Chongqing issued yellow and orange flood warnings - China News	Heavy rainstorms in 33 districts and counties in Chongqing issued yellow and orange flood warnings -	Yellow and orange flood warnings issued in 33 districts and counties in Chongqing
中新网重庆7月26日电 (记者 刘相琳)记者26日从重庆市水利局获悉，过去24小时，重庆33个区县出现暴雨，其中16个区县出现大暴雨。	Chongqing, July 26 (China News, Liu Xianglin) This reporter learned from the Chongqing Water Resources Bureau on July 26 that heavy rains had occurred in 33 districts and counties in Chongqing over the past 24 hours, with 16 of them experiencing heavy rainfall.	In the past 24 hours, heavy rain fell in 33 districts of Chongqing, including 16 counties.	Chongqing, July 26 (Reporter Liu Xianglin) The reporter learned from Chongqing Water Resources Bureau that in the past 24 hours, 33 districts and counties in Chongqing have seen heavy rains, including 16 districts and counties.
暴雨致重庆71条次中小河流出现涨水，当地已先后发布两个洪水预警。	Heavy rain caused 71 small and medium-sized rivers in Chongqing to rise, causing the local authority to issue two flood warnings.	Heavy rains caused water to rise in 71 small and medium-sized rivers in Chongqing, where two flood warnings were issued.	Torrential rains caused flooding in 71 small and medium-sized rivers in Chongqing, where two flood warnings have been issued.
据重庆市水文监测总站监测，25日8时至26日8时，重庆大部分地区出现大到暴雨，局地大暴雨。	According to the Chongqing Hydrological Monitoring Center, from 8:00 am on July 25th to 8:00 am next day, heavy to torrential rainfall would occur in most areas of Chongqing, with torrential rainfall in localities.	From 8: 00 a.m. to 8: 00 p.m., most of Chongqing experienced heavy rainfall.	According to the Chongqing hydrological monitoring station monitoring, from 8: 00 on the 25th to 8: 00 on the 26th, large to heavy rainfall occurred in most parts of Chongqing, local heavy rain.
潼南、铜梁、合川等33个区县出现暴雨，其中忠县、开州、巫溪等16个区县出现大暴雨；最大日降雨量出现在南川金山镇龙山村，为197.5毫米。	Torrential rainfall occurred in 33 districts and counties including Tongnan, Tongliang and Hechuan, while 16 districts and counties including Zhongxian, Kaizhou and Wuxi experienced torrential rainfall; the maximum daily rainfall occurred in Longshan Village, Jinshan Town, Nanchuan, at 197.5 mm.	Heavy rainfall was recorded in 33 districts, including Zhongxian, Kaizhou, and Wuxi, and the maximum daily rainfall was 197.5 mm in Longshan Village, Jinshan Town, Nanchuan.	There were heavy rains in 33 districts and counties, including Zhongxian, Kaizhou and Wuxi; the largest daily rainfall occurred in Longshan Village, Jinshan Town, Nanchuan, with 197.5mm.
潼南涪江、琼江、开州南河等71条次中小河流出现1至7米涨水过程，最高水位未超警戒水位。	A total of 71 sub-small and medium-sized rivers, including the Fujiang River and the Qiongjiang River in Tongnan, the Nanhe River in Kaizhou, saw a water rise ranging from 1 to 7 meters, with the highest water level not exceeding the warning level.	There are 71 small and medium-sized rivers in Qinjiang, Qiongjiang, and Kaizhou, with water surges ranging from 1 to 7 meters.	71 small and medium-sized rivers such as Xiangjiang River, Qiongjiang River and Kaizhou Nanhe River in southern Huainan appear 1-7 meters of water rising process, the highest water level does not exceed the alert level.
预计26日8时至27日8时，重庆大部地区中小河流可能出现不同程度涨水过程，个别中小河流可能出现超警水位洪水。	It is expected that from 8:00 am on July 26th to 8:00 am the next day, most of the small and medium-sized rivers in Chongqing may experience different rises, and individual small and medium-sized rivers may have over-the-warning-level flooding.	Between 08: 00 and 08: 00 on 26 and 27: 00, there may be different levels of water rise in most of Chongqing's small and medium-sized rivers, and some small and medium-sized rivers may experience	It is expected that from 8: 00 on the 26th to 8: 00 on the 27th, large and medium-sized rivers in Chongqing may have varying degrees of water rise process, individual small and medium-sized rivers may appear over
当地同时还将关注长江、嘉陵江可能出现的过境洪水。	Local attention will also be paid to the Yangtze River and Jialing River for possible transitory flooding.	Local attention will also be paid to possible transit flooding along the Yangtze River and the Jialing River.	Local attention will also be paid to possible transit flooding along the Yangtze River and Jialing River.
CBA迎来复赛后首批观众，想看季后赛要注意这些-中新网	As the CBA welcomes the first spectators after resuming games, here’s what to watch in anticipation of the playoffs	CBA ushers in the first audience after the rematch, want to watch the playoffs pay attention to these -	CBA ushered in the first audience after the rematch, want to see the playoffs to pay attention to these
2020-07-26 20:26:01 来源：中国新闻网 作者：岳川 责任编辑：岳川	2020-07-26 20:26:01 Source: chinanews.com Writer: Yue Chuan Editor Yue Chuan	2020-07-26 20: 26: 01 Source: China News Network Author: Yue Chuan Editor: Yue Chuan	2020-07-26 20: 26: 01From: China News Author: YuechuanResponsible Editor: Yuechuan
中新网客户端7月26日电 据CBA联赛官方消息，CBA青岛赛区今天终于迎来复赛后第一批入场观赛的球迷。	Chinanews.com, released July 26 According to official information from the CBA League, today the CBA finally welcomed its first group of in-person fans to a match after resuming games.	According to the official CBA league news, the CBA Qingdao tournament today finally ushered in the first batch of fans entering the game after the resumption of the competition.	According to the official news of the CBA League, CBA Qingdao finally welcomed the first batch of fans after the rematch today.
现场观赛球迷包括了青岛移动的工作人员以及医生、教师、公安人员等在疫情期间为社会做出卓越贡献的人群，7月31日，本赛季CBA季后赛正式开战，届时也将正式恢复面向球迷售票。	Among the fans physically present were Qingdao Mobile staff, doctors, teachers, and public security personnel who made noteworthy social contributions during the epidemic, and on July 31st, this season’s CBA playoffs will officially begin, while ticket sales to the public will also officially resume.	On July 31, the CBA playoffs officially began this season, and will officially resume ticket sales for fans.	Live fans included Qingdao Mobile staff, doctors, teachers, public security personnel and other people who made outstanding contributions to society during the epidemic. On July 31, the season CBA playoffs officially started, and ticketing for fans will be officially resumed.
受疫情影响，CBA联赛在中断近5个月后，于6月20日开始复赛。	Because of the epidemic, CBA games were paused for the past 5 months, and began resuming on June 20th.	After a five-month hiatus due to the outbreak, the CBA tournament resumed on 20 June.	Affected by the outbreak, the CBA League resumed on June 20 after a nearly five-month hiatus.
虽然26日下午入场观赛的观众不多，但是现场的阵营感已经很明显了：有人在鼓掌，而有人在沉默。	Although there weren’t many in the audience on the afternoon of the 26th, the sense of team spirit among the spectators was obvious: some applauded, while others were silent.	While the audience for the 26 shows was small for the afternoon, the sense of camp on the field was already palpable: Some were applauding, while others were silent.	Although there were few spectators on the afternoon of the 26th, the sense of camp was already evident: some were clapping while others were silent.
场上球员针锋相对，场下球迷也在分庭抗礼，这样的画面已经许久未见。	The game was close and intense, and in the stands, the audience competed just as fiercely, which is a scene we haven’t seen for a long time.	The players are in a tit-for-tat situation, and the fans are in court against each other, a picture that has not been seen for a	It has not been seen for a long time since the players faced each other on the pitch and the fans on the field.
季后赛时，球迷们如果想现场观赛，下面这些可要注意了。	For fans who want to watch the playoff games in person, these are a few things to know.	If the fans want to watch the game live during the playoffs, the following should be noted.	During the playoffs, if fans want to watch the game live, the following should be noted.
此次开放球迷购票观赛的场馆为青岛国信体育中心钻石体育馆(崂山赛区)，球票销售全面实行线上实名制购票、线下实名制入场的制度，所有观赛球迷须年满12岁、且持有48小时内核酸检测合格证明。	The venue for the in-person playoff games will be the Qingdao Guoxin Sports Center Diamond Stadium (Laoshan District), ticket sales will utilize an online real-name registration and offline real-name entry system, and all who attend in person must be at least 12 years of age and have qualifying nucleic acid test results from within 48 hours prior to entry.	The venue for fans to buy tickets is the Diamond Stadium of Qingdao Guoxin Sports Center (Busan). Ball ticket sales fully implement the online real-name ticket purchase system and offline real-name entry system. All fans must be at least 12 years old and hold a certificate of qualification for nucleic acid testing within 48 hours.	Qingdao Guoxin Sports Center Diamond Stadium (Laoshan District) is the venue for fans to purchase tickets. All fans must be over 12 years of age and have a nucleic acid test certificate within 48 hours.
奖励5万元 湖北恩施表扬沙子坝滑坡“预警第一人” - 中新网	50K Award Goes to Person Who Provided First Alert of Yangziba Landslide in Enshi, Hubei Province-ChinaNews.com	Reward 50,000 yuan Hubei Enshi praised sand dam landslide "early warning first person" -	Reward 50,000 yuan Hubei Enshi praised sand dam landslide "warning first person"
湖北日报讯(记者林晶)7月26日，恩施市通报表扬为沙子坝滑坡预警作出重要贡献的地质灾害点监测员陈光明，并为他送去5万元奖金。	From Hubei Daily (reported by Lin Jing) On July 26, Enshi City announced the commendation of Chen Guangming, an inspector at a geological disaster site who made a great contribution in issuing the early warning about the Shaziba landslide, and awarded him RMB 50,000 Yuan.	On July 26, Hubei Daily News (reporter Lin Jing), Enshi City reported that Chen Guangming, a monitor at the geological disaster site who made an important contribution to the early warning of the sand dam landslide, sent him 50,000 yuan in prize money	Hubei Daily News (reporter Lin Jing) On July 26, the Enshi City Bulletin praised Chen Guangming, a geological hazard site monitor who made important contributions to the sand dam landslide warning, and sent him 50,000 yuan in prize money.
同时，号召全市党员干部学习他恪尽职守、敢于担当、主动作为、乐于奉献的精神。	Meanwhile, all Party members and leaders of the city are called upon to learn from his dedication to his duty, willingness to take the initiative, and devotion to serve.	At the same time, the city's party cadres were called upon to learn from his dedication, courage, initiative and dedication.	At the same time, call on the city's Party members and cadres to learn his dedication, courage to take responsibility, initiative, dedication spirit.
7月21日，恩施市屯堡乡马者村沙子坝发生滑坡，导致清江干流河道形成堰塞湖，58岁的陈光明是预警此次滑坡的第一人。	On July 21, a landslide at Shaziba in Mazhe Village, Tunbao County, Enshi City led to a barrier lake on the main stream of Qingjiang River, and Chen Guangming, 58, was the first to alert authorities of this landslide.	On 21 July, a landslide in the sand dam of the village of Mahe, in the town of Bunburg, Enshi, led to the formation of a lake in the dry stream of the Qing River. Chen Guangming, 58, was the first	On July 21, a landslide occurred at the sand dam in Maz Village, Taobao Township, Enshi City, causing the Qingjiang River to form Yusai Lake. Chen Guangming, 58, was the first person to warn of the landslide
7月17日下午，陈光明得知村民家中墙壁开裂的消息，立即到现场查看。	On the afternoon of July 17, Chen Guangming learned that the walls of a villager’s house had cracked and went onsite to check on it.	On the afternoon of July 17, Chen Guangming learned of the crack in the wall of the villager's home and immediately went to the scene to	On the afternoon of July 17, Chen Guangming learned that the walls of villagers' homes had cracked and immediately went to the scene to check
他刚从家中走出五六百米，便看到村组公路裂开四五厘米，沿着公路一直延伸到玉米地，长度约50米。	Only about 500 meters out from home, he saw a crack in the village road extending into the corn field, 4-5cm in width and around 50 meters in length.	As soon as he stepped out of his home, he saw the village road split open by four and five centimetres, along the road to the cornfield, some 50 metres in length.	Just five or six hundred metres from his home, he saw the village road split four or five centimetres apart, stretching along the road to the cornfield, about 50 metres long.
陈光明顿生警觉，第一时间将公路开裂的照片发到乡“地质灾害监测员联系群”里。	Chen Guangming became alarmed at once and immediately sent a photo of the crack in the road to the Geological Disaster Inspection liaison group.	Chen Guangmington was alert, and the first pictures of the highway cracking were sent to the township "geological disaster monitor contact group."	Chen Guangmington was alert, the first time sent photos of the road cracking to the township "geological hazard monitor contact group."
经屯堡乡自然规划所相关负责人现场查看和判断，滑坡的可能性很大，随即作出撤离群众的决定。	After site inspection, the head of the environment planning office in Tunbao County came to the conclusion that the possibility for landslide was high and decided to evacuate the villagers.	In the case of a decision to leave the village, the decision to leave the village was made, and the decision was taken.	After the inspection and judgment of the relevant person in charge of the natural planning institute of Xinbao Township, the possibility of landslide is high, and the decision to
陈光明的及时预警，为影响区内315户1339名群众的安全撤离贏得了36小时的宝贵时间。	Thanks to Chen Guangming’s timely alert, 36 hours were provided for 1339 people from 315 households within the affected area to safely evacuate.	Chen Guangming's timely early warning won 36 hours of precious time for the safe evacuation of 315 families and 1,339 people in affected areas.	Chen Guangming's timely warning earned him valuable 36 hours for the safe evacuation of 1,339 people from 315 households in the affected area.
此次重大地质灾害，无一人伤亡。	No one died or was harmed during this major geological disaster.	No one was killed or injured in the disaster.	There were no casualties from this major geological disaster.
陈光明认真负责的敬业精神得到群众的称赞。	Cheng Guangming’s professional dedication was spoken highly of by the people.	Chen Guangming's earnest and responsible professionalism was praised by the masses.	Chen Guangming's serious and responsible professionalism was praised by the masses.
面对赞誉，他说：“不存在救了谁，这是我的责任。 ”	In response to the praise, he said, “It’s not a big deal, it’s just my responsibility. ”	Faced with praise, he said: "There is no saving who, it is my responsibility."	Facing praise, he said: "There is no one who saves, it is my responsibility."
澳大学研制新药有望用于治疗新冠引发的血管堵塞-新华网	Australian university develops new drug to treat COVID-19 blood vessel blockage - Xinhuanet	Australian University to develop new drug promising to treat blood vessel blockages caused by new crown - Xinhua - RT News	Australian University develops new drugs expected to be used to treat coronavirus-induced blood vessel blockage - Xinhua News Agency
新华社悉尼7月26日电（记者陈宇）澳大利亚莫纳什大学的研究人员正在研发一种有助于预防心脏病和中风的新药，并希望这种药物能用于治疗由新冠病毒引发的血管堵塞。	Xinhua News Agency, Sydney, reported July 26 (Correspondent: Chen Yu) Researchers at Australia’s Monash University are developing a new drug to prevent stroke and heart disease, and it is hoped that the same drug can be used to treat blood vessel blockage caused by COVID-19.	Sydney, July 26 (Xinhua) -- Researchers at Monash University in Australia are developing a new drug that can help prevent heart disease and stroke, and hope it can be used to treat blood vessel blockages caused by the new crown virus.	Sydney, July 26 (Xinhua) -- Researchers at Monash University in Australia are developing a new drug that could help prevent heart disease and stroke, and hope the drug can be used to treat blood vessel blockages caused by the coronavirus.
研究人员发现，在心脏病或中风发作前，血小板中的一种酶会加速血小板凝结。	The researchers discovered that prior to a heart attack or stroke, an enzyme present in platelets accelerates platelet clotting.	Researchers found that an enzyme in the platelets accelerates platelet clotting before a heart attack or stroke.	Researchers found that an enzyme in platelets accelerates platelet clotting before a heart attack or stroke.
由此他们研发一种药物，可以暂时性抑制血小板凝结，从而避免血管堵塞，对心脏病和中风起到预防作用。	To target this, they are developing medicine to temporary inhibit platelet clotting as a way to avoid clogging blood vessels and thereby prevent heart disease and stroke.	As a result, they developed a drug that temporarily inhibits platelet clotting, thereby preventing blood vessels from clogging and preventing heart disease and stroke.	As a result, they developed a drug that temporarily inhibits platelet clotting, thereby avoiding blood vessel blockage and preventing heart attacks and strokes.
研究人员表示，这种药物只会在出现心脏病或中风征兆时，抑制血小板的凝结效应。	They claim the drug’s inhibitive effect will only affect clotting when in the presence of signs of heart attack or stroke.	Researchers say the drug will only suppress the clotting effect of platelets when signs of heart disease or stroke appear.	Researchers say the drug will only suppress the clotting effect of platelets when there are signs of heart attack or stroke.
由于有研究显示类似的血管堵塞是导致新冠重症患者死亡的主要原因之一，研究人员希望这种药物在将来可以用于此类重症患者的治疗。	Studies indicate that such blood vessel blockage is a leading cause of death in severe COVID-19 cases, so the researchers hope this drug can be use to treat such severe cases in the future.	With studies showing that similar blood vessel blockages are one of the leading causes of death in new coronary artery disease patients, researchers hope the drug could be used in the future in the treatment of such serious patients.	With studies showing similar blood vessel blockages are one of the leading causes of death in patients with coronary artery disease, researchers hope the drug could be used in the future to treat patients with such severe conditions.
目前，该药物已在动物模型实验中取得良好效果，研究人员准备下一阶段进行人体临床试验。	At present, the drug shows promising results in animal studies, and the researchers are preparing for the next phase of experiments, human trials.	Currently, the drug has shown good results in animal model experiments, and researchers are preparing for the next phase of human clinical trials.	Currently, the drug has shown good results in animal model experiments, and researchers are preparing for the next phase of human clinical trials.
研究成果日前已发表在美国《科学·转化医学》杂志上。	The results of their research were recently published in the US magazine “Science Translational Medicine”.	Research has been published in the American Journal of Science and Translational Medicine.	The research results have been published in the journal Science Translational Medicine.
他成为CBA联赛复赛允许观众现场观赛后，首位进场的观众。	He was the first spectator to enter a CBA venue after the league resume games and allowed in-person audiences.	He became the first person to appear in a CBA rematch, allowing viewers to watch the game live.	He became the first spectator to attend a CBA League rematch after allowing spectators to watch live.
当日，在山东青岛举行的2019-2020赛季中国男子篮球职业联赛（CBA）复赛第二阶段（崂山赛区）比赛中，医护人员、教师、公安战线人士通过官方购票平台，完成包括核酸检测在内的相关流程后进场观看了上海久事队迎战山东西王队的比赛。	On the day, at the second stage game of the 2019-2020 China Men’s Basketball Professional League (CBA) semifinals (Laoshan Division) in Qingdao, Shandong Province, medical personnel, teachers, and public security officers went through the official ticket platform procedures, including nucleic acid testing, and afterward, he entered the court to watch the Shanghai Sharks play the Shandong Heroes.	On the same day, in the second phase of the 2019-2020 season of the China Basketball Professional League (CBA) in Qingdao, Shandong Province, medical personnel, teachers and members of the public security front came to watch the Shanghai Longservice Team play against Shandong Xiwang Team through the official ticket purchasing platform.	On the same day, medical personnel, teachers and public security personnel went through the official ticket purchase platform to watch Shanghai Jiushi Team against Shandong Xiwang Team during the second phase of the 2019-2020 season China Men's Basketball Professional League (CBA) rematch (Shaoshan Division).
观赛期间，观赛者须全程佩戴口罩，对号入座，严格保持间隔一米就座。	During the game, spectators were required to wear masks the whole time, sit in assigned seats, and maintain a one meter distance between seats.	During the race, the participants must wear a full face mask to enter the seat and strictly keep one meter apart.	During the viewing period, spectators must wear masks throughout the race and take seats at strict intervals of one meter.
退场时，观众须按照自后向前、先两边后中间的顺序，保持“一米线”社交距离有序退场。	While leaving, the audience was required to exit in an orderly fashion and maintain a distance of one meter from others on all sides.	When exiting, the audience must follow the order of forward, first two sides and then the middle, keeping the "one meter line" social distance in order to exit the venue.	When exiting the venue, the audience must keep the "one meter line" social distance in order to exit the venue.
新疆深耕“向日葵田” 用好清洁能源-中新网	Xinjiang Ploughs in “Sunflower Fields” to Take Advantage of Clean Energy-ChinaNews.com	Xinjiang cultivates "sunflower fields" with good clean energy -	Xinjiang deep ploughing "sunflower fields" to use clean energy
2020-07-26 15:43:42 来源：中国新闻网 作者：陈海峰 责任编辑：陈海峰	2020-07-26 15:43:42 Source: Chinanews.com Author: Chen Haifeng Editor: Chen Haifeng	2020-07-26 15: 43: 42 Source: China News Network Author: Chen Haifeng Editor: Chen Haifeng	2020-07-26 15: 43: 42 Source: China News Author: Chen Haifeng Responsible Editor: Chen Haifeng
6000多块五边形定日镜，每块48平方米，一圈一圈排列整齐，如一片银色“向日葵田”，随太阳转动，将阳光反射到中心200多米高的吸热塔，实现发电。	Over 6,000 pentagon heliostats, 48 square meters each, lined up in circles like a field of silver sunflowers, turning with the sun and reflecting sunlight to the 200-meter heat absorption tower in the middle for power generation.	More than 6000 pentagonal sun mirrors, each 48 square meters, arranged in a circle, such as a silver "sunflower field," as the sun rotates, reflecting sunlight into the center of more than 200 meters high heat absorbing tower to achieve power generation.	More than 6000 pentagonal heliostats, 48 square meters each, arranged in one circle, such as a silver "sunflower field," with the rotation of the sun, reflect sunlight to the center of 200 meters high heat absorption tower to achieve power generation.
记者25日在新疆哈密市伊吾县淖毛湖镇的中电工程哈密熔盐塔式光热发电场，见到这一场景。	On the 25th, the reporter saw this view when visiting a CNEEC Hami molten salt tower solar power plant in Naomaohu Township of Yiwu County in Hami, Xinjiang.	The reporter, 25, saw this scene at the Sino-Electric Power Project Hami molten salt tower photothermal power plant in Yilan County, Xinjiang Province.	The reporter saw this scene on the 25th at the Hami molten salt tower solar thermal power plant of China Electric Power Project in Yili County, Hami City, Xinjiang Province.
“所谓熔盐塔式光热发电，就是将太阳光通过镜面集中反射到吸热塔形成热能，再通过传统发电技术将热能转化为电能。”	“Molten salt tower solar power generation means to form thermal energy through specular concentrated sunlight reflection to the heat absorption tower, then turn the thermal energy into electricity through conventional power generation technology. ”	"Melt salt tower type thermal power generation is the reflection of sunlight through the mirror to the thermal tower to form thermal energy, and then through conventional power generation technology to convert heat into electric power."	"The so-called molten salt tower solar thermal power generation is the reflection of sunlight through the mirror into the heat absorbing tower to form heat energy, and then through the traditional power generation technology to convert heat into electricity."
中电哈密太阳能热发电有限公司副总经理张勇介绍说，其设计原理类似于中国西北地区农村使用的太阳灶，都要把太阳光聚集起来。	Zhang Yong , Vice GM of CNEEC Hami Solar Power Co., Ltd., said the design concept is similar to solar stoves used in Northwestern rural areas, which use concentrated sunlight.	Zhang Yong, deputy general manager of China Electricity Hami Solar Thermal Power Co., Ltd., said that the design principle is similar to the solar stove used in rural northwest China, to gather the sunlight.	Zhang Yong, deputy general manager of CEC Hami Solar Thermal Power Co., Ltd., said that its design principle is similar to the use of solar cookers in rural areas in northwest China, to gather sunlight.
该发电场于2017年10月开工建设，去年底实现并网，占地6600亩，共计划安装14500块定日镜。	Covering an area of 6,600 mu, the power plant, construction of which started in October 2017, was integrated into the grid at the end of last year, with a total of 14,500 heliostats ultimately to be installed.	The plant began construction in October 2017 and was grid-connected at the end of last year, covering an area of 6,600 mu, with 14,500 fixed heliostats planned to be installed.	Construction began in October 2017 and was connected to the grid by the end of last year, covering an area of 6,600 acres, with plans to install 14,500 heliostats.
“相比传统太阳能发电技术，其最大优点是可将聚集的热能储存起来，在晚上也能发电。”	“Compared to conventional solar power technology, its greatest advantage is to store collected thermal energy so that power generation can continue in the evening. ”	"The greatest advantage over conventional solar power technologies is the ability to store concentrated heat and generate electricity at night."	"Compared to conventional solar power technology, the biggest advantage is that the accumulated heat can be stored and can generate electricity at night."
张勇说，该项目配置的13小时储热系统，可使发电机组保持连续稳定运行，不受光照变化影响；也可根据电网负荷峰谷需求，快速参与电网调峰。	Zhang Yong said the 13-hour thermal storage system deployed at this project is not affected by sunlight changes, enabling continuous stable operation of the generator unit, and can also swiftly support power grid peak stabilization according to grid load peak and valley demands.	Zhang Yong said that the project is equipped with a 13-hour heat storage system, which can keep the generator set running continuously and steadily without being affected by the change of light. It can also participate in fast grid adjustment according to the needs of the grid load peak	Zhang Yong said that the 13-hour heat storage system configured by the project can keep the generator set running continuously and stably, not affected by changes in light; also according to the peak and valley demand of grid load, rapid participation in grid peaking.
该项目完全建成后，可实现年发电量1.98亿度，每年可节约标准煤6万多吨，减排二氧化硫60多吨、氮氧化物60多吨、烟尘约20吨、二氧化碳15多万吨，为当地提供源源不断的清洁能源。	Annual power generation of the project will reach 198 million kwh when completed, saving over 60,000 tons of standard coal, cutting over 60 tons of sulfur dioxide emission, 60 tons of oxynitrides, 20 tons of dust and fumes, and over 150,000 tons of carbon dioxide while providing a steady flow of clean energy to the locals.	When completed, the project could generate 198 million degrees of electricity annually, save more than 60,000 tons of standard coal per year, reduce emissions of more than 60 tons of sulfur dioxide, more than 60 tons of nitrogen oxide, about 20 tons of soot and 150,000 tons of carbon dioxide, and provide a steady stream of clean energy locally.	When fully completed, the project can achieve annual power generation of 198 million kWh, save more than 60,000 tons of standard coal per year, reduce 60 tons of sulfur dioxide, 60 tons of nitrogen oxides, about 20 tons of soot and 150,000 tons of carbon dioxide, providing a steady stream of clean energy for the local area.
除此之外，在哈密市石城子光伏产业园内还有另一片银色“向日葵田”。	Aside from that, there is another silver sunflower field in Shichengzi Photovoltaic Industrial Park in Hami City.	In addition, there is another silver "sunflower field" in Shichengzi PV Industrial Park, Hami City.	In addition, there is another silver "sunflower field" in Hami City Shichengzi Photovoltaic Industrial Park.
哈密弗光太阳能光伏电站占地2300多亩，已建成的714台发电设备同样跟随太阳转动，始终保持太阳光与聚光板面成90度直角。	The Hami Fuguang Solar Photovoltaic Power Plant covers an area of over 2,300 mu, with 714 generators following the sun to always maintain a 90 degree right angle between sunlight and panels.	Hameeflight Solar PV Power Station covers an area of more than 2300 mu, and 714 power generation equipment have been built to follow the rotation of the sun, always keeping the sun and the concentrated panel surface at a	Hamifu solar photovoltaic power station covers an area of more than 2300 acres, has been built 714 power generation equipment also follow the sun rotation, always keep the sunlight and the focus plate surface into a 90 degree right angle.
“我们采用双轴跟踪式聚光发电技术，通过统一集成控制，所有发电设备会根据太阳高度调整角度，保持发电效率。”	“We use dual-axis tracking CPV technology that through integrated controls, ensures all power generating equipment adjusts its angle to the altitude of the sun to maintain generating efficiency. ”	"We use dual-axis tracking focused power generation technology, through unified integrated control, all power generation equipment will adjust the angle according to solar height to maintain power generation efficiency."	"We use biaxial tracking concentrated power generation technology, through unified integrated control, all power generation equipment adjust the angle according to the height of the sun to maintain power generation efficiency."
该电站站长段梦琪说，在光照好的天气条件下，该发电技术较传统的光伏发电效率可提升20%左右。	Duan Mengqi, head of the power plant, said in good lighting weather, this technology improves efficiency by 20% compared to conventional photovoltaic power generation.	The station director, Mengqi Duan, said that in good light weather conditions, the power generation technology can increase the efficiency of the traditional photovoltaic power generation by about 20	The station director Duan Mengqi said that under good weather conditions, the power generation technology can improve the efficiency of traditional photovoltaic power generation by about 20.
今年上半年，该电站已实现发电700多万度，补充了当地用电需求。	In the first half of this year, the power plant generated over 7 million kwh of electricity and supplemented local power demand.	In the first half of this year, the plant has generated more than 7 million degrees of electricity, complementing local electricity demand.	In the first half of this year, the plant generated more than 7 million degrees of electricity, supplementing local electricity demand.
石城子光伏产业园是目前新疆单体规模最大，光伏组件类型最全的一座光伏产业示范园区，共入驻光伏发电项目38个，总装机82万千瓦。	Shichengzi Photovoltaic Industrial Park is currently the largest demonstration park with the most comprehensive photovoltaic component types, and it currently hosts 38 photovoltaic power generation projects with a total installed capacity of 820,000kw.	Shichengzi Photovoltaic Industrial Park is the largest single scale in Xinjiang at present, and the most complete type of photovoltaic module is a demonstration park for the photovoltaic industry.	Shichengzi Photovoltaic Industrial Park is currently Xinjiang's largest single scale, the most complete type of photovoltaic module type of a photovoltaic industry demonstration park, a total of 38 photovoltaic power generation projects, total installed 820,000 kilowatts.
今年上半年完成发电量超1.1亿度，较2019年同期增长6%。	In the first half of this year, it generated 110 million kwh, an increase of 6% compared to 2019.	The first half of this year completed more than 110 million power generation, 6 more than the same period in 2019	Completed power generation in the first half of this year exceeded 110 million kWh, an increase of 6 compared with the same
哈密是中国太阳能资源条件最好的地区之一。	Hami is one of the regions that has the best solar energy resources in China.	Hami is one of the best places in China for solar energy resources.	Hami is one of the best solar resource conditions in China.
年平均太阳总辐射量为每平方米6200多兆焦，全年日照时数3200小时左右。	Its average annual solar radiation is over 6,200 MJ per square meter, with around 3,200 annual sunshine hours.	The average annual total solar emission is more than 6,200 megajoules per square metre, with around 3,200 hours of sunlight per year.	The average annual total solar radiation is more than 6,200 megajoules per square meter, with about 3,200 hours of sunshine throughout the year.
