Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
But both figures are likely to be significantly smaller this year.	但是，今年的这两个数字可能会大幅缩水。	但这两个数字今年可能会大幅下降。	但这两个数字今年可能会大幅减少。
Standard Media Index figures, which report the spend of four of the five major ad agency groups, said that the outdoor advertising market had plummeted 68 per cent in June.	Standard Media Index 统计了五家主要的广告代理集团中四家的支出情况，这些数据表明，户外广告市场在六月份缩水了 68％。	标准媒体指数 (Standard Media Index) 称， 6 月份户外广告市场的支出大幅下降了 68% 。	标准媒体指数数据显示， 5 个主要广告代理集团中的 4 个集团的支出情况显示， 6 月份户外广告市场暴跌 68% 。
By comparison, interim June results show that digital spending is down 37 per cent, while metropolitan radio had fallen 48 per cent.	相比之下，六月份发布的中期业绩显示，数字广告支出下跌了 37％，城市电台广告支出下跌了 48％。	相比之下， 6 月的临时结果显示，数字支出下降了 37% ，而都市电台则下降了 48% 。	相比之下， 6 月中期结果显示，数字支出下降了 37% ，而都市电台则下降了 48% 。
Metropolitan television fell 34 per cent in June, newspaper spending dropped by 49 per cent and spending in magazines plummeted 66 per cent.	六月份，城市电视台广告支出下跌了 34％，报纸广告支出下跌了 49％，杂志广告支出则下跌了 66％。	6 月份，大都会电视台的支出下降了 34% ，报纸支出下降了 49% ，杂志支出下降了 66% 。	6 月份，都市电视台下降了 34% ，报纸支出下降了 49% ，杂志支出下降了 66% 。
Coronavirus: Travellers from Spain told to quarantine	新冠疫情：来自西班牙的游客需进行隔离	冠状病毒：来自西班牙的旅行者被告知检疫	冠状病毒：来自西班牙的旅客被告知检疫
Travellers arriving in the UK from Spain must now quarantine for 14 days, under new coronavirus travel rules.	据最新的新冠期间旅游限令规定，来自西班牙的游客抵达英国境内需进行 14 天的隔离观察。	根据新的冠状病毒旅行规则，从西班牙抵达英国的旅客现在必须隔离 14 天。	根据新的冠状病毒旅行规定，从西班牙抵达英国的旅客现在必须隔离 14 天。
They were announced on Saturday following a spike in coronavirus cases in Spain, with more than 900 new cases of the virus reported on Friday.	新的旅游限令于周六公布，此前，西班牙感染病例突增，截止周五已有超过 900 个新增病例。	他们是在西班牙的冠状病毒病例激增后宣布的，周五报告的病毒病例超过 900 例。	据报道，西班牙冠状病毒病例激增后，他们于周六公布，上周五公布了 900 多例新病例。
Spanish officials have also warned a second wave could be imminent as major cities have seen cases surge.	西班牙各主要城市均存在感染病例上涨趋势，相关官员警告称，将会有第二波病例增长的情况发生。	西班牙官员还警告说，第二波可能即将到来，因为主要城市已经看到了病例激增。	西班牙官员也警告说，随着主要城市出现案件激增，第二波可能即将到来。
Airlines including British Airways have criticised the new measures as "yet another blow" to British holidaymakers.	包括英国航空公司在内的相关企业均表达了对新政策的不满，认为这是对英国度假者的“又一次打击”。	包括英国航空公司在内的航空公司都批评新措施是对英国度假者的 “另一个打击”。	包括英国航空公司在内的航空公司都批评这些新措施是对英国度假者的 “又一次打击”。
People currently on holiday in Spain have been advised by the Department of Transport to follow the local rules, return home as normal, and check the Foreign Office's travel advice website for further information.	英国运输部建议目前在西班牙旅游的民众遵守当地规定，可正常回国，并前往外交部旅行建议网站了解更多信息。	目前在西班牙度假的人已被运输署告知遵守当地规则，恢复正常回家，并检查外交部的旅行咨询网站，以获取更多信息。	目前在西班牙度假的人已被运输部建议遵守当地规则，正常返回家园，并检查外交部的旅行咨询网站，以了解更多信息。
The Foreign Office is advising against all but essential travel to mainland Spain, however the quarantine measures apply to those returning from mainland Spain, the Canary Islands and the Balearic Islands, such as Majorca and Ibiza.	外交部的建议适用于所有旅游的民众，尤其针对前往西班牙大陆的游客，但隔离的对象只包括从西班牙大陆、加那利群岛以及马略卡岛和伊比沙岛等巴利阿里群岛返回的人。	外交部建议禁止前往西班牙大陆的所有基本旅行，但检疫措施适用于从西班牙大陆、加那利群岛和巴利阿里群岛返回的人，如 Majorca 和 Ibiza 。	外交部对前往西班牙大陆的所有基本旅行提供咨询，但检疫措施适用于从西班牙大陆、加那利群岛和巴利阿里群岛返回的人，如 Majorca 和 Ibiza 。
Foreign Office advice has ramifications for travel insurance.	外交部的建议对旅游保险也有一定影响。	外交部的咨询意见对旅行保险有影响。	外事处的咨询意见对旅行保险有影响。
Among those affected by the new rules is Transport Secretary Grant Shapps, who began his holiday in Spain on Saturday.	运输大臣 Grant Shapps 也受到了新限令的影响。他于周六开始在西班牙度假，	在受新规则影响的人当中，运输秘书格兰特是周六在西班牙度假的。	在受新规则影响的人当中，交通部长格兰特・斯普，他周六开始在西班牙度假。
He is expected to continue his trip as planned and isolate in line with guidance on his return.	预计他将按计划继续旅行，并在回国后根据相关指示进行隔离。	预计他将继续按计划进行旅行，并根据关于他返回的指导意见孤立起来。	预计他将按计划继续旅行，并根据关于他返回的指导意见隔离。
Quarantine measures for UK travellers were first introduced in early June.	针对英国旅客的隔离措施最初于六月初公布。	英国旅行者的检疫措施于 6 月初首次推出。	英国旅行者的检疫措施于 6 月初首次出台。
But after pressure from the aviation and travel industries, the government and devolved administrations published lists of countries exempt from the rules.	但迫于航空和旅游行业的压力，政府及下属行政部门又公布了不受隔离规定影响的国家和地区的清单。	但在航空和旅游行业的压力下，政府和权力下放的政府公布了豁免规则的国家名单。	但在航空和旅游业的压力下，政府和权力下放的政府公布了免于这些规则的国家名单。
British Airways said it was "disappointed" about the latest changes to the government's travel advice and rules, although the airline said its flights were continuing to operate.	尽管英国航空公司称其航班作业仍会照常进行，但该公司表示对政府旅行建议和规定的最新变化感到“失望”，	英国航空公司表示，对政府旅行建议和规则的最新变化感到 “失望”，尽管航空公司表示，其航班仍在继续运营。	英国航空公司表示，对政府旅行建议和规则的最新变化感到 “失望”，尽管航空公司表示，其航班仍在继续运营。
It said the move was "throwing thousands of Britons' travel plans into chaos."	认为此举将“扰乱数千万英国人的旅行计划”。	它说，此举 “将数以千计的英国人的旅行计划变成了混乱。”	它表示，此举 “使数以千计的英国人的旅行计划陷入混乱”。
The Airport Operators Association said the new measures would "further damage what is already a fragile restart of the aviation sector which continues to face the biggest challenge in its history."	英国机场运营协会认为新措施将“进一步摧毁航空行业才重启不久的脆弱经济，而整个行业将继续面临史上最大的挑战”。	机场运营人协会说，新措施将 “进一步破坏已经脆弱的航空业重启，这将继续面临其历史上最大的挑战。”	机场运营人协会说，新措施将 “进一步损害航空部门已经脆弱的重启，而航空部门仍然面临历史上最大的挑战。”
The UK's biggest tour operator, Tui, cancelled its flights due to depart to mainland Spain and the Canary Islands on Sunday.	英国最大的旅游公司途易 (TUI) 取消了周六前往西班牙大陆和加那利群岛的航班。	英国最大的旅游运营商 Tui ，周日取消了飞往西班牙大陆和加那利群岛的航班。	英国最大的旅游运营商 Tui 周日取消了飞往西班牙大陆和加那利群岛的航班。
Customers currently on holiday will be able to return on their intended flight home.	目前正在度假的游客仍然可以乘坐计划的航班回国。	目前正在度假的客户将能够返回他们预定的航班回家。	目前正在度假的客户将能够返回他们预定的航班回家。
However, budget airline EasyJet said it was "disappointed" and would operate a full schedule in the coming days.	但是，廉价航空易捷航空公司 (EasyJet) 称其非常“失望”并会在之后几天将航班排满。	不过，预算航空公司 EasyJet 说，它 “失望”，并将在未来几天内运行一个完整的时间表。	不过，预算航空公司 EasyJet 说，它 “失望”，并将在未来几天内运营一个完整的时间表。
"Customers who no longer wish to travel can transfer their flights without a change fee or receive a voucher for the value of the booking," the company said in a statement.	该公司在一份声明中表示，“不想继续旅行的乘客可以转机，且无需支付改签费，或者也可以选择与订票金额等价的代金券”。	该公司在一份声明中说：“那些不再愿意旅行的客户可以在没有变更费用的情况下转移航班，也可以收到预订价值的凭证。”	该公司在一份声明中说：“不再希望旅行的客户可以在没有更改费用的情况下转移航班，或者收到一张预订价值的凭证。”
A spokesman for the Association of British Travel Agents (Abta) said the government's quarantine rule change was "disappointing."	英国旅行社协会 (ABTA) 的发言人也对政府的隔离规定感到“失望”：	英国旅行社协会的发言人说，政府的检疫规则变化 “令人失望”。	英国旅行社协会发言人说，政府的检疫规则变化 “令人失望”。
"We suggest the government considers lifting the quarantine rules for flights to and from certain regions with lower infection rates, or to places such as the Balearic Islands or the Canaries - which are geographically distinct from mainland Spain - to avoid further damage to the UK inbound and outbound tourism industries," he said.	“我们建议政府放宽对往返低感染率地区的限制，或者针对像巴利阿里群岛或加那利群岛这种地理上明显不同于西班牙大陆的地区的限制，从而避免加剧英国出入境旅游行业的现状。”	他说：“我们建议政府考虑取消某些地区的检疫规则，这些地区的感染率较低，或者是在地理上与西班牙大陆不同的巴利阿里群岛或加那利群岛等地区，以避免对英国入境和出境旅游业造成进一步损害。	他说 : "我们建议政府考虑取消往返于感染率较低的某些地区，或前往巴利阿里群岛或加那利群岛等地的航班的检疫规定，这些地区与西班牙大陆不同，以避免对英国入境和出境旅游业造成进一步损害。"
Spain has so far seen more than 28,000 coronavirus deaths.	目前，西班牙已有超过 28,000 例死亡病例，	迄今为止，西班牙已发现超过 28000 例冠状病毒死亡。	到目前为止，西班牙已经有 28000 多人死于冠状病毒。
On Thursday, it saw the biggest daily increase in infections since its lockdown ended.	周四的新增病例数量是解除封锁后单日新增最多的一次。	周四，它发现，自关闭以来，感染病例每天都在增加。	周四，它发现，自封锁结束以来，感染人数的每日增幅最大。
Catalonia has become the latest region to crack down on nightlife.	加泰罗尼亚是最后一处将对人们夜生活进行限制的地区。	加泰罗尼亚已经成为最新的一个打击夜生活的地区。	加泰罗尼亚已成为打击夜生活的最新地区。
The wealthy north-east region, which is home to Barcelona, ordered all nightclubs to close for two weeks and put a midnight curfew on bars in the greater Barcelona area.	巴塞罗那所属的东北富人区下令关闭所有夜间俱乐部两周，并在巴塞罗那更广泛的地区实行午夜宵禁。	位于巴塞罗那的富裕的东北部地区命令所有夜总会关闭两个星期，并在更大的巴塞罗那地区实行午夜宵禁。	位于巴塞罗那的富裕的东北部地区命令所有夜总会关闭两个星期，并在更大的巴塞罗那地区对酒吧实行午夜宵禁。
The BBC's Guy Hedgecoe in Madrid says contagion among young people is a particular worry, as they have been gathering in large numbers in cities at night.	据 BBC 驻马德里记者 Guy Hedgecoe 报道，病毒在年轻群体中传播的情况尤其令人担忧，因为到了晚上，他们就会在各城市大规模聚集。	英国广播公司在马德里的 Guy Hedgecoe 说，年轻人的感染是一个特别令人担忧的问题，因为他们在夜间聚集了大量的城市。	英国广播公司在马德里的 Guy Hedgecoe 说，年轻人之间的传染是一个特别令人担忧的问题，因为他们晚上在城市里聚集了大量的城市。
France has warned its citizens not to travel to Catalonia while Norway has said it will start quarantining people arriving from Spain.	法国已警告其公民不要前往加泰罗尼亚旅行，挪威也称将对来自西班牙的人进行隔离。	法国警告其公民不要前往加泰罗尼亚，而挪威则表示将开始隔离来自西班牙的人。	法国警告其公民不要前往加泰罗尼亚，而挪威则表示将开始隔离来自西班牙的人。
The government is urging employers to be "understanding of those returning from Spain who now will need to self-isolate."	目前，政府也在敦促雇主“体谅从西班牙回国且需要自我隔离的员工”。	政府敦促雇主 “了解那些从西班牙回来的人，他们现在需要自我隔离。”	政府敦促雇主 “了解那些从西班牙返回的人，他们现在需要自我孤立。”
But Labour's shadow home secretary Nick Thomas-Symonds called for the government to explain in detail how it would support those affected, adding that the news would be "deeply concerning for families who are in caught in Spain or are planning travel."	然而，工党影子内政大臣 Nick Thomas-Symonds 呼吁政府解释具体将如何帮助受影响的人，并补充说新规定将“很大程度上影响留在西班牙的家庭以及计划旅行的家庭”。	但是工党的影子内政大臣尼克・托马斯 - 西蒙兹要求政府详细解释它将如何支持受影响的人，并补充说这一消息将 “对那些在西班牙被抓获或正在计划旅行的家庭来说”。	但是工党的影子内政大臣尼克・托马斯 - 西蒙兹呼吁政府详细解释它将如何支持受影响的人，并补充说这一消息将 “对那些在西班牙被抓获或计划旅行的家庭产生深刻的影响”。
Scottish First Minister Nicola Sturgeon tweeted that the decision was made after reviewing the latest data earlier on Saturday.	苏格兰首席大臣 Nicola Sturgeon 在推文中表示，这是在回顾了周六早些时候的最新数据后做出的决定。	苏格兰首席部长尼古拉・斯托洪格说，这项决定是在周六早些时候审查最新数据后做出的。	苏格兰首席部长斯库辛格 (Nicola Sturgeon) 称，该决定是在周六早些时候审查最新数据后做出的。
"This reinforces the point that these matters are subject to change at short notice and so my advice is to be cautious about non-essential foreign travel," she said.	她说：“要强调的一点就是，情况在短期内会发生变化，所以我建议不要进行不必要的境外旅行”。	她说：“这加强了这一点，即这些问题在短时间内就会改变，所以我的建议是谨慎对待非必要的外国旅行。”	她说：“这加强了这一点，即这些问题必须在短时间内改变，因此我的建议是对非必要的国外旅行持谨慎态度。”
John Blackmore, from Hampshire, was due to fly out to his family in Spain with his wife and two young children.	来自汉普郡的 John Blackmore 原本计划同妻子和两个孩子一起到西班牙见自己的家人。	来自汉普郡的约翰？布莱克威尔（ JohnBlackmore ）将与他的妻子和两个年幼的孩子一起飞往西班牙的家庭。	来自汉普郡的约翰？布莱克莫尔（ JohnBlackmore ）将与他的妻子和两个年幼的孩子一起飞往西班牙的家人。
But the new rules mean he has had to cancel, for fears his wife's employer would not be able to accommodate her taking an extra two weeks off to quarantine on their return.	但新规定实施后，因为担心回国后妻子的雇主不愿意接受她进行为期两周的隔离，所以不得将行程取消。	但新规则意味着他不得不取消，因为担心他的妻子的雇主将无法让她在返回后再接受两个星期的隔离。	但新规则意味着他不得不取消，因为担心他妻子的雇主无法让她在返回时额外休息两周。
He said he thought it was unlikely they would get a refund for the flight, as it has not been cancelled.	他认为取消航班可能不会获得退款，因为他们现在都还没能成功退票。	他说，他认为他们不太可能得到航班的退款，因为它没有被取消。	他说，他认为他们不太可能得到航班退款，因为它没有被取消。
"I'm devastated," he told the BBC.	“我现在真的很绝望”，他对 BBC 记者说，	“我很伤心，” 他对 BBC 说。	“我很伤心，” 他对 BBC 说。
"I have family in Spain who haven't seen their only grandkids since Christmas."	“我在西班牙的父母自从圣诞节后就没见过自己的孙子了。”	“我有一个在西班牙的家庭，他们自圣诞节以来就没有见过他们唯一的孙子。”	“我在西班牙有一个家庭，他们自圣诞节以来就没有见到过他们唯一的孙子。”
Lois Stothard, from South Yorkshire, told the BBC she had booked a holiday to Seville as a surprise for her boyfriend's 30th birthday - due to fly out on Sunday morning - but now feels that she cannot travel.	南约克郡的 Lois Stothard 告诉 BBC 记者，她订了去塞维利亚的机票，准备在他男朋友 30 岁生日时给他一个惊喜，航班将在周日早上起飞，但现在她估计无法按计划出行了。	来自南约克郡的露易丝？斯托斯塔德 (Lois Stothard) 告诉 BBC ，她已经为她的男朋友 30 岁生日预订了一个假期 — — 因为她的男朋友是在周日的早晨飞出来的 — — 但现在	来自南约克郡的露易丝？斯托斯塔德 (Lois Stothard) 告诉 BBC ，她已经预订了一个去塞维利亚度假的假期，这是对她男友 30 岁生日的一个惊喜 — — 因为她的男朋友 30 岁生日是在周日
"I'm a keyworker - I'm a teacher - and my boyfriend has work commitments so we cannot quarantine for 14 days when we return," she said.	“我是一名老师，关键行业的从业人员，而且我男朋友工作很忙，所以我们不可能回国后进行 14 天隔离”，她说，	她说：“我是一个关键的工人 — — 我是一名教师 — — 我的男朋友有工作承诺，所以在我们返回的 14 天内，我们不能隔离。”	她说：“我是一名关键工人 — — 我是一名教师 — — 我的男朋友有工作承诺，所以我们不能隔离 14 天。”
"We can't get any money back and to change the company want double what I've already paid in fees. I'm very disappointed and upset as we're packed and ready to go."	“我们拿不到退款，而且改签的话航空公司要求我们支付两倍的价钱。我真的很失望很苦恼，我们明明都收拾好行李准备出发了。“	“我们无法收回任何资金，要改变公司想要的两倍，我已经支付了费用。我很失望和不安，因为我们打包，准备好了。”	“我们无法收回任何资金，而改变公司想要的是我已经支付的费用的两倍。我非常失望和沮丧，因为我们已经准备好出发了。”
Leicester happy to hit target of European football says Golden Boot winner Jamie Vardy	金靴奖得主 Jamie Vardy 称莱斯特城已实现入围欧联的目标	莱斯特高兴地击中了欧洲足球的目标。	莱斯特高兴地击中欧洲足球的目标，他说金球奖得主杰米・沃迪
Jamie Vardy acknowledged his disappointment at missing out on Champions League football, but said Leicester City achieved their early-season objective of qualifying for Europe.	Jamie Vardy 表示，虽然莱斯特城止步欧冠令其惋惜，但已实现赛季初进军欧洲联赛的目标。	杰米・沃迪承认他对错过了欧冠比赛感到失望，但他说莱斯特城实现了他们在赛季初对欧洲的资格。	杰米・沃迪承认他对错过欧冠比赛感到失望，但他表示，莱斯特城实现了他们在欧洲资格赛中的早期目标。
The Foxes were second in December and third when football restarted after lockdown, but they took just four points from their last five games to finish fifth in the Premier League.	莱斯特城（绰号“狐狸”）12 月时稳坐联赛榜第二位，在次循环联赛中落回第三位，因在英超最近五场比赛中仅拿下 4 分，最终跌至第五位。	Foxes 在 12 月的比赛中排名第二，在比赛结束后，足球重新开始了，但他们在前 5 场比赛中只拿下了 4 分，在英超联赛中完成了第五场	Foxes 在 12 月排名第二，在关闭后足球重新开始，但他们只从最后 5 场比赛中拿下了 4 分，在英超联赛中完成了第五场比赛。
A final-day win over Manchester United would have secured a top-four finish, but Brendan Rodgers" side suffered a 2-0 loss, which Vardy says was the most upsetting aspect.	如果莱斯特城能在最后一场比赛战胜曼联，可确保其位列联赛榜前四，但莱斯特城 0:2 不敌曼联， Vardy 也坦言十分惋惜。	在曼联的最后一天，曼联将获得前四的胜利，但 Brendan Rodgers 的球队遭受了 2 - 0 的损失，沃迪说这是最令人不快的方面。	在曼联的最后一天，曼联将获得前四强的成绩，但 Brendan Rodgers 的球队遭受了 2 - 0 的损失，沃迪说这是最令人不快的方面。
"It was disappointing, more the way we've ended up losing the game," he said on Sky Sports at full-time.	他在天空体育台的采访中表示：“我感到十分失望，特别是我们输掉比赛的方式。	“这是令人失望的，更多的是我们最终输掉这场比赛的方式，” 他在天空体育的全职说。	他说：“这令人失望，更多的是我们最终输掉这场比赛的方式。”
"But we've said in the dressing room, we targeted behind closed doors to qualify for Europe and we've done that.	但就像我们在更衣室里说的，我们的目标是入围欧联，而且我们也确实做到了。	“但是我们在更衣室里说过，我们的目标是关门大吉，以符合欧洲的资格，我们已经做到了这一点。”	" 但我们在更衣室里说过，我们为了符合欧洲的资格而闭门锁定目标，我们已经做到了这一点。
"We had the chance to qualify for the Champions League and that was even better, but we'll reflect on it and come back stronger next year.	当然，如果能杀入欧冠自然是锦上添花，我们之后会汲取经验教训，争取在来年以更好的状态回归。	他说：“我们有机会获得欧冠资格，这更美好，但我们将反思它，并在明年恢复强势。	" 我们有机会晋级欧冠，这甚至更好，但我们会对此进行反思，并在明年变得更加强大。
"It's hard to take, but our main target was Europe and we've managed to do that."	虽然这场比赛的失利让我们不太好受，但是我们的主要目标是晋级欧联，而且已经成功入围。”	“这很难接受，但我们的主要目标是欧洲，我们已经做到了这一点。”	“这很难接受，但我们的主要目标是欧洲，我们已经做到了这一点。”
While his team fell short, Vardy himself ended the season as the Premier League's top scorer at 33 years of age, scoring 23 times.	尽管球队的整体表现不佳，但 Vardy 在本次英超联赛中打进 23 球，以 33 岁之龄斩获本赛季金靴奖。	当他的球队落后的时候，沃迪在 33 岁的时候作为英超最佳射手结束了赛季，得分 23 次。	虽然他的球队失败了，但沃迪自己在 33 岁的时候就结束了英超最佳射手的赛季，得分 23 次。
He paid tribute to his team-mates in receiving the award and said there are still plenty of miles left in him at the top level, despite his advancing age.	领奖时，他向队友致敬并表示，尽管年龄越来越大，但在顶级联赛中仍有很长的路要走。	他向他的队友们致敬，他接受了这个奖项，他说，尽管他的年龄增长了，但在他的最高层仍有大量的里程。	他向他的队友们致敬，他接受了这个奖项，并说尽管他的年龄提高了，但他在高层仍然有很多里程。
"I'm delighted, it's all about the team. I wouldn't have been in the position I was for the goals without them and I've put quite a few away.	他说道：“我很高兴能和他们成为队友。如果没有他们，我无法实现目标，更不会站在这个领奖台上。	“我很高兴，这一切都是关于团队。我不会在我的位置，我是为目标没有他们，我把相当多的远 .	" 我很高兴，这一切都与团队有关。如果没有他们，我就不会处于目标的位置，我已经放弃了很多。
"I'll have a rest for a bit now and come back for next season ready to go.	我会短暂休息一段时间，然后开始为下一个赛季做准备。	“我现在休息一会儿，回到下个赛季准备出发。	" 我现在休息一下，下赛季回来准备好了。
Fortunately I don't feel my age, my legs are still fine and touch wood I don't pick up many injuries, so it's about keeping on top of that and come back as strong as I can next year."	对我而言，年龄并没有对我造成太大影响，我的腿依然很健康，而且也没有受太多伤，我需要做的就是继续保持，然后以最好的状态迎接明年的比赛。”	幸运的是，我没有感觉到我的年龄，我的腿仍然很好，触摸着木头，我没有受伤，所以它保持在这上面，并且像我明年一样强壮。	幸运的是，我没有感觉到我的年龄，我的腿仍然很好，触碰木头我没有受伤，所以要保持在这上面，明年我可以尽可能地恢复强壮。
'What happened there?!' UFC fighter Correia gets pummelled after turning back on rival mistakenly thinking round is over (VIDEO) - RT Sport News	‘发生了什么情况？！’ 终极格斗冠军赛 (UFC) 拳手 Correia 误以为回合结束，转身时遭到对手连击（视频）——RT 电视台体育新闻	“那里发生了什么？” UFC 战斗机 Correia 在回到对手错误的想法结束后遭到了猛烈抨击。	“那里发生了什么？！” UFC 战斗机 Correia 在对手错误的想法结束后遭到猛烈攻击。
Brazilian bantamweight Bethe Correia is a UFC veteran but made an amateur error by turning her back on opponent Pannie Kianzad and mistakenly thinking the round was over in their bout on Fight Island, and got tagged as a result.	巴西雏量级拳手 Bethe Correia 在 UFC 身经百战，却在格斗岛与 Pannie Kianzad 对垒时发生业余失误——她误以为回合已经结束，转身把后背暴露给了对手，因此遭受连击。	巴西裔美国人贝思・科雷亚是 UFC 的老手，但他的失误使她回到了对手 Pannie Kianzad ，并错误地认为这一轮比赛在他们的比赛中结束了，结果被贴上了标签。	巴西裔美国人 Correia 是 UFC 的一名老手，但他因背弃对手 Pannie Kianzad 而犯了一个业余错误，错误地认为这一轮比赛在他们的比赛中结束，结果被贴上了标签。
Coming to the end of the first stanza of their showdown on the undercard in Abu Dhabi, the 37-year-old Correia appeared to mistake the 10-second warning for the actual end of the round, reaching out a glove before turning her back on Kianzad and making her way back to her corner.	这场一决胜负之战在阿布扎比开打，第一回合快要结束时，现年 37 岁的 Correia 似乎把 10 秒警告误当作是回合结束，她举高一只手转身背朝 Kianzad 走向自己的一角。	这位 37 岁的 Correia 在阿布扎比的底牌上摊牌的第一站即将结束，他似乎错误地将 10 秒的警告误认为是回合的实际结束，然后伸出了一只手套，然后再回到 Kianzad ，回到她的角落。	在阿布扎比底牌摊牌的第一节即将结束时，这位 37 岁的科雷亚似乎误判了 10 秒的警告，认为这一轮的实际结束，他伸出了一只手套，然后转身回到基安扎德，回到了她的角落。
The Swedish fighter capitalized without hesitation, tagging her opponent with a right hand before following up with a series of blows to back Correia against the cage.	瑞典拳手毫不犹豫地出手，先用右手连击，然后挥出一系列长拳将 Correia 逼到笼边。	这位瑞典战士毫不犹豫地投入了资金，用右手对她的对手进行了标记，然后对 Correia 的笼子进行了一系列的打击。	这位瑞典战士毫不犹豫地利用了他的对手，然后用右手打了她的对手，然后对他进行了一系列的打击。
Momentarily appearing in danger, the Brazilian then regained control to stifle the threat and back Kianzad up before the actual end of the round was called.	巴西选手陷入短暂危险后重新获得控制权，在回合真正结束之前将 Kianzad 击倒在地。	在危险中暂时出现的情况下，巴西人恢复了控制，以抑制威胁，并在回合的实际结束前恢复了 Kianzad 。	在危险中出现的瞬间，巴西恢复了控制，以抑制威胁，并在该回合的实际结束之前恢复了对 Kianzad 的控制。
"What happened there? Oh my word," the commentary team on ESPN+ were heard exclaiming.	“发生了什么情况？天哪”， ESPN+ 解说员发出惊呼。	“那里发生了什么？我的话，” ESPN 的评论团队听到了。	“那里发生了什么？哦，我的话，” ESPN 的评论团队听到了惊呼。
It was just one part of a frustrating night for former bantamweight title challenger Correia, who went down to a unanimous decision defeat which is her third loss in her past four octagon outings and leaves her overall record at 11-5, with one draw.	对于前雏量级挑战者 Correia 而言，这个令人沮丧的夜晚还没有结束，最终裁判一致判定她挑战失败，这也是过去四场比赛中的第三次失利，总成绩变成 11 胜 5 负 1 平。	这仅仅是前平庸冠军得主科雷亚的一个令人沮丧的夜晚的一部分，他在过去的 4 次比赛中获得了一致的失败，这是她在过去的 4 次比赛中的第三次失利，并在 11 - 5 岁的时候创下了她的总体纪录	这仅仅是前平庸冠军竞争对手 Correia 的一个令人沮丧的夜晚的一部分，他在过去的 4 次比赛中获得了一致的决定失败，这是她在过去 4 次比赛中的第三次失利，并在 11 - 5 岁时创下了她的总体纪录。
For the Iranian-born Kianzad, 28, it was a second win on the spin following her victory over Jessica-Rose Clark at UFC Fight Night in Moscow back in November.	生于伊朗的 Kianzad 今年 28 岁，这是她继 11 月在莫斯科 UFC 格斗之夜击败 Jessica-Rose Clark 之后取得的又一次胜利。	对伊朗出生的 Kianzad ， 28 岁的 Kianzad 来说，这是在她于 11 月在莫斯科的 UFC 作战之夜战胜杰西卡 - 罗斯・克拉克之后的第二次胜利。	在伊朗出生的 Kianzad ， 28 岁的 Kianzad ， 11 月在莫斯科的 UFC 作战之夜，她战胜了杰西卡 - 罗斯・克拉克，这是她的第二次胜利。
Kianzad is now 13-5 overall and 2-1 in the UFC, as the woman known as 'Banzai' aims to shift up the 135lbs rankings.	Kianzad 目前的整体战绩为 13 胜 5 负，UFC 战绩为 2 胜 1 负，这位外号“Banzai”的女拳手希望提升自己的雏量级（135 磅）排名。	在 UFC 中， Kianzad 现在是 13 - 5 名， 2 - 1 名，因为被称为 “Banzai” 的女性的目标是提高 135bls 的排名。	在 UFC 中， Kianzad 现在是 13 - 5 ， 2 - 1 ，因为被称为 “Banzai” 的女性的目标是提高 135 磅的排名。
Elsewhere on the night, Australia's Robert Whittaker edged out England's Darren Till in the middleweight main event, while Russian-born fighter Khamzat Chimaev made history by winning a second bout in 10 days on Fight Island, the shortest-ever period between victories in the modern-era UFC.	当晚其他比赛中：澳大利亚的 Robert Whittaker 在中量级主要赛事中险胜英格兰选手 Darren Till；俄罗斯出生的拳手 Khamzat Chimaev 十天内在格斗岛赢得两场比赛，创下现代 UFC 比赛中两场胜利间隔时间最短的记录。	在当晚的其他地方，澳大利亚的罗伯特・维特克在中量级的主要活动中淘汰了英格兰的达伦・蒂尔，而俄罗斯出生的战斗机 Khamzat Chimaev 在 10 天内赢得了第二轮比赛，这是现代变革力量联盟胜利的最短时期。	在其他地方晚上，澳大利亚的罗伯特・惠特克淘汰英格兰的达伦・蒂尔在中量级主要事件，而俄罗斯出生的战斗机 Khamzat Chimaev 创造了历史，赢得了第二轮 10 在战斗岛天，在现代 UFC 胜利之间的最短时期 .
Rahul Gandhi Goes To People On Rajasthan Issue	Rahul Gandhi 呼吁人民在拉贾斯坦邦事件上支持其政党	拉胡尔・甘地在拉贾斯坦邦问题上的立场	拉胡尔・甘地在拉贾斯坦邦问题上的讲话
Congress's Rahul Gandhi tweeted a video today attempting to mobilise the people against the BJP over the events in Rajasthan.	今天，印度国民大会党的 Rahul Gandhi 在推特上发布了一段视频，希望鼓动人民在拉贾斯坦邦事件上反对印度人民党 (BJP)。	国会的拉胡尔・甘地今天在拉贾斯坦邦的事件中试图动员人民反对印度人民党。	国会的拉胡尔・甘地今天发布了一个视频，试图动员人民反对印度人民党在拉贾斯坦邦发生的事件。
Using hashtag #SpeakUpForDemocracy, his Hindia post urged the people to "Unite and raise our voice for democracy."	他用印地语发的帖子带上了 #为民主发声 (#SpeakUpForDemocracy) 的标签，呼吁人民“团结起来，为民主发声”。	他的印地语帖子使用了他的印度语，敦促人民 “团结，提高我们的民主之声”。	他的印度帖子敦促人民 “团结和提高我们的民主声音”。
